2023 Zip Code Viral Suppression Data - AIDSVu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For additional information regarding this dataset, please see the Data Methods by clicking this row or by visiting https://aidsvu.org/data-methods/data-methods-city-level/.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,City,"City
Name","Zip
Code","ZIP
Code
Percent","ZIP
Code
Cases","Male
Percent","Male
Cases","Male Case
Denominator","Female
Percent","Female
Cases","Female Case
Denominator","Black
Percent","Black
Cases","Black Case
Denominator","White
Percent","White
Cases","White Case
Denominator","Hispanic
Percent","Hispanic
Cases","Hispanic
Case
Denominator","Age
13-24
Percent","Age
13-24
Cases","Age 13-24
Case
Denominator","Age
25-44
Percent","Age
25-44
Cases","Age 25-44
Case
Denominator","Age
45-59
Percent","Age
45-59
Cases","Age 45-59
Case
Denominator","Age
60+
Percent","Age
60+
Cases","Age 60+
Case
Denominator"
2023,NewYork,"New
York
City",11238,60.7,475,61.4,362,590,58.5,113,193,59.8,287,480,61.9,78,126,62.1,87,140,71.4,5,7,68.1,143,210,54.6,142,260,60.5,185,306
2023,NewYork,"New
York
City",11239,73.8,155,72.1,80,111,75.8,75,99,74.4,116,156,-1,-1,5,71.7,33,46,-1,-1,5,66.7,32,48,80,52,65,73.9,68,92
2023,NewYork,"New
York
City",11351,0,0,0,0,-1,-8,0,0,-8,0,0,-8,0,0,0,0,-1,-8,0,0,-8,0,0,0,0,-1,-8,0,0
2023,NewYork,"New
York
City",11354,67.1,141,67.9,110,162,64.6,31,48,72.1,31,43,75,15,20,61.6,53,86,-1,-1,-1,68.5,50,73,65.3,47,72,67.7,42,62
2023,NewYork,"New
York
City",11355,59.5,181,60,150,250,57.4,31,54,63.8,30,47,61.5,16,26,54.9,67,122,-1,-1,-1,64.2,68,106,54.2,52,96,59.4,60,101
2023,NewYork,"New
York
City",11356,56,51,56.6,43,76,53.3,8,15,-1,-1,-1,75,6,8,56.9,37,65,-1,-1,-1,53.7,22,41,64,16,25,50,11,22
2023,NewYork,"New
York
City",11357,72.5,58,72.6,45,62,72.2,13,18,-1,-1,-1,67.9,19,28,73.1,19,26,-1,-1,-1,66.7,14,21,76,19,25,71.9,23,32
2023,NewYork,"New
York
City",11358,63.2,55,64.3,45,70,58.8,10,17,-1,-1,-1,65.2,15,23,57.9,22,38,-1,-1,-1,68,17,25,57.1,16,28,63.6,21,33
2023,NewYork,"New
York
City",11359,-1,-1,-1,-1,-1,-8,0,0,-8,0,0,-1,-1,-1,-8,0,0,-8,0,0,-8,0,0,-1,-1,-1,-8,0,0
2023,NewYork,"New
York
City",11360,64.1,25,62.5,20,32,71.4,5,7,-1,-1,-1,68.2,15,22,-1,-1,7,-8,0,0,-1,-1,8,84.6,11,13,55.6,10,18
2023,NewYork,"New
York
City",11361,68.3,28,66.7,22,33,75,6,8,-1,-1,5,56.3,9,16,80,12,15,-8,0,0,83.3,10,12,76.9,10,13,50,8,16
2023,NewYork,"New
York
City",11362,82.6,19,83.3,15,18,-1,-1,5,-1,-1,-1,86.7,13,15,71.4,5,7,-8,0,0,85.7,6,7,71.4,5,7,88.9,8,9
2023,NewYork,"New
York
City",11363,-1,-1,-1,-1,9,0,0,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-8,0,0,-1,-1,-1,0,0,-1,-1,-1,6
2023,NewYork,"New
York
City",11364,71.2,42,72.7,32,44,66.7,10,15,64.3,9,14,71.4,15,21,64.7,11,17,-8,0,0,71.4,15,21,75,15,20,66.7,12,18
